  2449     cell side=  247.    lamda=  30.0    %-model= 3.0    dens=  0.0
   X(m)   Y(m)   Z(m asl)   sx(m)  sy(m)   sz(m)  den(kg/m3)   sen    ord
 368663 6009905    2089       96     49     96      3.7        1.4    4.4
 368663 6009960    2089       96     62     96      3.7        1.7    4.0
 368759 6009322    2089       96    111     96      3.7        3.0    4.0
 368759 6009414    2089       96     73     96      3.7        2.0    4.0
 368759 6009479    2089       96     56     96      3.7        1.5    3.9
 368759 6009530    2089       96     46     96      3.7        1.2    3.9
 368759 6009572    2089       96     39     96      3.7        1.0    4.0
 368759 6009609    2089       96     35     96      3.7        0.9    4.1
 368759 6009853    2089       96     37     96      3.7        1.0    4.5
 368759 6009892    2089       96     41     96      3.7        1.2    4.6
 368759 6009937    2089       96     49     96      3.7        1.4    4.4
 368759 6009993    2089       96     64     96      3.7        1.8    4.1
 368856 6009326    2089       96    113     96      3.7        3.1    3.8
 368856 6009419    2089       96     75     96      3.7        2.0    4.1
 368856 6009485    2089       96     57     96      3.7        1.5    4.0
 368856 6009537    2089       96     47     96      3.7        1.2    3.8
 368856 6009581    2089       96     40     96      3.7        1.1    4.2
 368856 6009619    2089       96     36     96      3.7        1.0    4.3
 368856 6009654    2089       96     34     96      3.7        0.9    4.3
 368856 6009687    2089       96     32     96      3.7        0.9    4.4
 368856 6009719    2089       96     32     96      3.7        0.9    4.2
 368856 6009751    2089       96     32     96      3.7        0.9    4.5
 368856 6009783    2089       96     32     96      3.7        0.9    4.7
 368856 6009816    2089       96     35     96      3.7        1.0    4.8
 368856 6009853    2089       96     38     96      3.7        1.1    4.6
 368856 6009894    2089       96     44     96      3.7        1.2    4.5
 368856 6009943    2089       96     54     96      3.7        1.5    4.3
 368856 6010005    2089       96     70     96      3.7        2.0    4.0
 368952 6009342    2089       96    120     96      3.7        3.3    3.7
 368952 6009442    2089       96     81     96      3.7        2.2    3.9
 368952 6009515    2089       96     63     96      3.7        1.7    3.9
 368952 6009572    2089       96     53     96      3.7        1.4    3.9
 368952 6009622    2089       96     47     96      3.7        1.3    4.0
 368952 6009667    2089       96     43     96      3.7        1.2    4.1
 368952 6009754    2089       96     43     96      3.7        1.2    3.9
 368952 6009798    2089       96     43     96      3.7        1.2    4.6
 368952 6009844    2089       96     48     96      3.7        1.3    4.5
 368952 6009895    2089       96     55     96      3.7        1.6    4.4
 368952 6009957    2089       96     70     96      3.7        1.9    4.1
 369048 6009373    2089       96    133     96      3.7        3.6    3.8
 369048 6009642    2089       96     67     96      3.7        1.8    3.8
 369048 6009707    2089       96     63     96      3.7        1.7    4.0
 369048 6009770    2089       96     63     96      3.7        1.7    4.3
 369048 6009836    2089       96     68     96      3.7        1.9    4.4
 369048 6009910    2089       96     79     96      3.7        2.3    4.2
 369145 6009787    2089       96     99     96      3.7        2.7    3.7
 369145 6009893    2089       96    112     96      3.7        3.2    3.7
 360017 6011685    1990      102    107    102     -3.7        3.4    4.9
 360017 6011814    1990      102    150    102     -3.7        4.7    5.8
 360118 6011560    1990      102     60    102     -3.7        1.9    3.8
 360118 6011629    1990      102     78    102     -7.3        2.4    5.2
 360118 6011716    1990      102     98    102     -7.3        3.0    8.1
 360118 6011823    1990      102    115    102     -3.7        3.7    5.7
 360220 6011518    1990      102     50    102     -7.3        1.6    4.3
 360220 6011572    1990      102     58    102    -11.0        1.8    4.3
 360220 6011633    1990      102     65    102    -11.0        2.0    4.0
 360220 6011701    1990      102     70    102     -7.3        2.2    4.1
 360220 6011774    1990      102     76    102     -3.7        2.4    3.7
 360321 6011398    1990      102     44    102     -3.7        1.4    4.6
 360321 6011445    1990      102     48    102     -7.3        1.5    5.9
 360321 6011494    1990      102     51    102    -11.0        1.6    5.3
 360321 6011545    1990      102     51    102    -11.0        1.6    3.8
 360321 6011596    1990      102     51    102     -7.3        1.5    3.7
 360423 6011243    1990      102     63    102     -3.7        1.9    3.9
 360423 6011306    1990      102     63    102     -7.3        1.8    4.6
 360423 6011366    1990      102     59    102    -11.0        1.8    5.0
 360423 6011423    1990      102     55    102    -11.0        1.6    4.5
 360423 6011475    1990      102     49    102     -7.3        1.5    4.3
 360423 6011522    1990      102     44    102     -3.7        1.3    3.7
 360525 6011112    1990      102    116    102     -7.3        3.4    3.8
 360525 6011218    1990      102     96    102    -11.0        2.8    4.0
 360525 6011305    1990      102     79    102    -11.0        2.4    5.0
 360525 6011377    1990      102     64    102     -7.3        1.9    4.5
 360626 6010867    1990      102    285    102     -7.3        8.4    3.7
 360626 6011090    1990      102    160    102    -11.0        5.0    4.1
 360626 6011228    1990      102    116    102    -11.0        3.5    4.3
 360626 6011328    1990      102     84    102     -3.7        2.5    4.8
 360728 6011022    1990      102    247    102    -11.0        7.5    4.5
 360728 6011218    1990      102    144    102     -7.3        4.4    4.5
 360829 6011043    1990      102    297    102     -7.3        8.8    6.8
 360931 6011122    1990      102    304    102     -3.7        8.9    5.2
 361236 6005084    1990      102    266    102      3.7        8.2    3.7
 361439 6005296    1990      102    284    102      3.7        9.0    3.8
 362557 6008056    1990      102    164    102      3.7        5.0    3.8
 362658 6008061    1990      102    137    102      7.3        4.4    4.6
 362760 6008031    1990      102    100    102      3.7        3.1    3.7
 362760 6008146    1990      102    129    102     11.0        4.0    5.0
 362760 6008268    1990      102    114    102      3.7        3.4    4.1
 362861 6008146    1990      102    112    102     11.0        3.5    3.9
 362861 6008267    1990      102    129    102     11.0        4.0    5.6
 362963 6008141    1990      102     94    102      3.7        3.0    4.8
 362963 6008249    1990      102    123    102      7.3        3.8    5.5
 368653 6009815    1990      102     52    102      3.7        1.6    3.9
 368754 6009678    1990      102     46    102      3.7        1.4    3.7
 368754 6009769    1990      102     46    102      3.7        1.4    3.8
 368754 6009815    1990      102     48    102      3.7        1.5    3.8
 368754 6009865    1990      102     52    102      3.7        1.6    3.8
 368856 6009782    1990      102     47    102      3.7        1.5    4.2
 368856 6009831    1990      102     50    102      3.7        1.6    4.0
 368856 6009884    1990      102     55    102      3.7        1.7    3.8
 368957 6009316    1990      102    125    102      3.7        3.9    3.7
 368957 6009757    1990      102     57    102      3.7        1.7    3.7
 368957 6009815    1990      102     59    102      3.7        1.8    3.7
 360053 6011627    1882      114     68    114     -3.7        2.6    4.0
 360053 6011701    1882      114     79    114     -3.7        3.2    6.1
 360053 6011790    1882      114     99    114     -3.7        3.8    6.4
 360166 6011510    1882      114     45    114     -3.7        1.8    4.0
 360166 6011558    1882      114     51    114     -7.3        2.0    4.2
 360166 6011613    1882      114     58    114     -7.3        2.3    6.4
 360166 6011674    1882      114     65    114     -7.3        2.6    8.1
 360166 6011743    1882      114     73    114     -7.3        2.8    5.3
 360166 6011820    1882      114     82    114     -3.7        3.2    5.4
 360280 6011399    1882      114     38    114     -3.7        1.5    3.8
 360280 6011439    1882      114     42    114     -7.3        1.6    3.8
 360280 6011483    1882      114     45    114     -7.3        1.8    5.6
 360280 6011529    1882      114     48    114    -11.0        1.9    4.3
 360280 6011579    1882      114     51    114    -11.0        1.9    4.4
 360280 6011630    1882      114     51    114     -7.3        2.0    5.7
 360280 6011682    1882      114     54    114     -7.3        2.1    4.0
 360280 6011735    1882      114     54    114     -3.7        2.1    4.3
 360393 6011263    1882      114     51    114     -3.7        1.9    3.9
 360393 6011314    1882      114     51    114     -7.3        1.9    3.9
 360393 6011365    1882      114     51    114     -7.3        1.9    5.5
 360393 6011417    1882      114     51    114    -11.0        1.9    4.7
 360393 6011467    1882      114     48    114    -11.0        1.8    4.6
 360393 6011514    1882      114     47    114     -7.3        1.8    6.1
 360393 6011560    1882      114     45    114     -7.3        1.7    4.0
 360393 6011604    1882      114     45    114     -3.7        1.6    3.9
 360507 6011054    1882      114     94    114     -3.7        3.5    3.9
 360507 6011142    1882      114     81    114     -7.3        3.0    3.8
 360507 6011218    1882      114     72    114     -7.3        2.7    5.5
 360507 6011288    1882      114     66    114    -11.0        2.5    4.6
 360507 6011351    1882      114     60    114    -11.0        2.3    4.7
 360507 6011408    1882      114     54    114     -7.3        2.0    5.6
 360507 6011459    1882      114     49    114     -7.3        1.8    3.8
 360507 6011506    1882      114     44    114     -3.7        1.6    3.8
 360620 6010899    1882      114    170    114     -3.7        6.5    5.0
 360620 6011049    1882      114    129    114     -7.3        4.8    5.2
 360620 6011165    1882      114    104    114    -11.0        3.9    4.7
 360620 6011260    1882      114     85    114    -11.0        3.2    4.2
 360620 6011338    1882      114     71    114     -7.3        2.6    4.6
 360620 6011403    1882      114     60    114     -3.7        2.2    4.1
 360734 6010770    1882      114    287    114     -7.3       10.9    3.7
 360734 6011002    1882      114    178    114    -11.0        6.8    3.7
 360734 6011156    1882      114    131    114    -11.0        4.9    4.1
 360734 6011272    1882      114    100    114     -7.3        3.7    4.0
 360848 6010828    1882      114    321    114     -7.3       11.9    4.9
 360848 6011080    1882      114    184    114     -7.3        7.2    6.0
 360848 6011239    1882      114    133    114     -3.7        5.0    4.8
 360961 6010973    1882      114    294    114     -7.3       11.1    5.0
 360961 6011208    1882      114    177    114     -3.7        6.8    4.2
 361075 6011042    1882      114    318    114     -3.7       12.0    5.3
 361188 6005097    1882      114    157    114      3.7        6.0    3.7
 361302 6004965    1882      114    291    114      3.7       10.9    3.8
 361302 6005188    1882      114    155    114      3.7        6.1    3.9
 361415 6005074    1882      114    281    114      3.7       10.8    4.4
 361415 6005305    1882      114    182    114      3.7        6.8    3.9
 361529 6005199    1882      114    304    114      3.7       11.5    4.6
 361529 6005467    1882      114    233    114      3.7        8.5    4.1
 361529 6005700    1882      114    233    114      3.7        8.7    3.9
 361643 6005438    1882      114    327    114      3.7       12.6    4.9
 362665 6008029    1882      114     92    114      7.3        3.6    4.1
 362665 6008122    1882      114     92    114      7.3        3.6    4.8
 362665 6008209    1882      114     81    114      3.7        3.1    3.7
 362778 6008067    1882      114     76    114      7.3        3.0    4.4
 362778 6008148    1882      114     86    114     11.0        3.4    5.6
