  2449     cell side=  247.    lamda=  30.0    %-model= 3.0    dens=  0.0
   X(m)   Y(m)   Z(m asl)   sx(m)  sy(m)   sz(m)  den(kg/m3)   sen    ord
 361339 6005190    1479      155    118    155      3.7        8.1    4.6
 361339 6005301    1479      155    105    155      3.7        7.2    4.6
 361339 6005402    1479      155     97    155      3.7        6.7    4.6
 361339 6005496    1479      155     92    155      3.7        6.4    4.5
 361339 6005588    1479      155     92    155      3.7        6.4    4.4
 361339 6005681    1479      155     92    155      3.7        6.6    4.5
 361339 6005775    1479      155     97    155      3.7        6.9    4.4
 361339 6005877    1479      155    105    155      3.7        7.6    4.3
 361494 6004869    1479      155    215    155      3.7       14.9    4.3
 361494 6005063    1479      155    172    155      3.7       11.8    5.1
 361494 6005222    1479      155    146    155      7.3       10.1    3.7
 361494 6005360    1479      155    131    155      7.3        9.1    3.7
 361494 6005487    1479      155    123    155      3.7        8.6    5.3
 361494 6005611    1479      155    123    155      3.7        8.5    5.2
 361494 6005734    1479      155    123    155      3.7        8.9    5.2
 361494 6005862    1479      155    134    155      3.7        9.6    5.1
 361648 6004686    1479      155    316    155      3.7       22.1    3.8
 361648 6004963    1479      155    240    155      7.3       16.5    4.4
 361648 6005181    1479      155    197    155      7.3       13.5    5.0
 361648 6005366    1479      155    174    155      7.3       12.0    5.1
 361648 6005535    1479      155    164    155      7.3       11.4    5.1
 361648 6005699    1479      155    164    155      7.3       11.6    4.9
 361648 6005868    1479      155    175    155      3.7       12.5    6.1
 361803 6004842    1479      155    326    155      7.3       22.7    4.9
 361803 6005135    1479      155    259    155      7.3       17.8    6.4
 361803 6005377    1479      155    226    155     11.0       15.6    4.5
 361803 6005598    1479      155    214    155      7.3       14.9    6.8
 361803 6005812    1479      155    214    155      7.3       15.5    5.8
 361958 6005001    1479      155    344    155     11.0       23.7    3.8
 361958 6005317    1479      155    288    155     11.0       19.8    5.9
 361958 6005594    1479      155    267    155     11.0       18.5    5.4
 361958 6005861    1479      155    267    155      7.3       18.8    4.7
 362112 6004750    1479      155    444    155      3.7       31.5    4.1
 362112 6005150    1479      155    355    155      7.3       24.4    5.2
 362112 6005482    1479      155    310    155      7.3       21.3    5.1
 362112 6005784    1479      155    294    155      3.7       20.5    4.1
 362731 6007921    1479      155     67    155      3.7        4.5    3.8
 362731 6007988    1479      155     67    155      3.7        4.6    5.5
 362731 6008054    1479      155     67    155      7.3        4.6    4.6
 362731 6008121    1479      155     67    155      7.3        4.6    5.1
 362731 6008188    1479      155     67    155      7.3        4.5    4.9
 362731 6008252    1479      155     63    155      7.3        4.4    4.3
 362731 6008315    1479      155     63    155      3.7        4.3    4.6
 362731 6008377    1479      155     60    155      3.7        4.2    3.9
 362886 6007925    1479      155     56    155      3.7        4.0    4.6
 362886 6007981    1479      155     56    155      7.3        4.1    4.0
 362886 6008038    1479      155     59    155      7.3        4.2    5.3
 362886 6008097    1479      155     59    155      7.3        4.3    6.7
 362886 6008155    1479      155     59    155     11.0        4.3    4.2
 362886 6008215    1479      155     61    155     11.0        4.4    4.1
 362886 6008277    1479      155     61    155      7.3        4.4    6.1
 362886 6008338    1479      155     61    155      7.3        4.3    4.8
 362886 6008400    1479      155     61    155      3.7        4.3    5.3
 362886 6008461    1479      155     61    155      3.7        4.3    4.2
 363040 6007910    1479      155     52    155      3.7        3.8    4.1
 363040 6007962    1479      155     52    155      3.7        3.8    5.0
 363040 6008016    1479      155     55    155      7.3        3.9    4.1
 363040 6008071    1479      155     55    155      7.3        4.0    4.9
 363040 6008128    1479      155     58    155      7.3        4.1    5.3
 363040 6008186    1479      155     58    155      7.3        4.2    4.9
 363040 6008244    1479      155     58    155      7.3        4.2    3.9
 363040 6008301    1479      155     58    155      3.7        4.2    5.0
 363195 6007878    1479      155     55    155      3.7        3.9    3.7
 363195 6007933    1479      155     55    155      3.7        3.9    4.2
 363195 6007988    1479      155     55    155      3.7        4.0    4.6
 363195 6008043    1479      155     55    155      3.7        4.0    4.7
 363195 6008098    1479      155     55    155      3.7        4.0    4.4
 363504 6007002    1479      155    175    155      3.7       11.9    4.1
 363504 6007162    1479      155    144    155      3.7       10.0    4.2
 363504 6007295    1479      155    121    155      3.7        8.4    3.8
 363659 6007073    1479      155    184    155      7.3       12.9    4.0
 363659 6007244    1479      155    157    155      7.3       10.9    3.8
 363659 6007390    1479      155    135    155      3.7        9.3    4.7
 363659 6007517    1479      155    119    155      3.7        8.2    4.4
 363659 6007630    1479      155    108    155      3.7        7.5    4.1
 363659 6007735    1479      155    101    155      3.7        7.0    3.8
 363814 6007108    1479      155    217    155      7.3       14.8    5.0
 363814 6007308    1479      155    183    155      7.3       12.6    4.9
 363814 6007478    1479      155    157    155      7.3       10.9    4.0
 363814 6007626    1479      155    140    155      3.7        9.6    4.9
 363968 6006982    1479      155    253    155      7.3       18.2    4.2
 363968 6007227    1479      155    236    155     11.0       16.5    4.4
 363968 6007447    1479      155    204    155      7.3       14.1    5.6
 363968 6007637    1479      155    177    155      3.7       12.2    5.5
 364123 6007109    1479      155    282    155     11.0       20.9    4.6
 364123 6007381    1479      155    262    155     11.0       18.3    5.1
 364123 6007625    1479      155    225    155      7.3       15.6    3.9
 364278 6007107    1479      155    344    155     11.0       24.7    5.2
 364278 6007436    1479      155    313    155     11.0       21.8    6.2
 364278 6007725    1479      155    266    155      3.7       18.3    5.0
 364433 6007049    1479      155    397    155     11.0       29.1    4.5
 364433 6007437    1479      155    379    155     11.0       26.6    8.2
 364433 6007787    1479      155    322    155      3.7       22.2    4.9
 364433 6013697    1479      155    371    155     -3.7       27.6    3.7
 364587 6007502    1479      155    438    155     11.0       31.3    9.3
 364587 6007911    1479      155    380    155      3.7       26.3    4.2
 364587 6013240    1479      155    375    155     -3.7       25.6    4.3
 364587 6013629    1479      155    402    155     -7.3       29.0    4.1
 364742 6008099    1479      155    423    155      3.7       30.9    4.0
 364742 6012941    1479      155    388    155     -7.3       26.9    3.8
 364742 6013329    1479      155    388    155     -7.3       26.9    4.8
 364742 6013734    1479      155    422    155     -7.3       30.6    5.1
 364897 6012930    1479      155    371    155     -3.7       25.6    4.7
 364897 6013301    1479      155    371    155     -7.3       25.1    3.8
 364897 6013672    1479      155    371    155     -3.7       27.5    6.3
 367990 6013654    1479      155    218    155     -3.7       15.1    5.9
 367990 6013868    1479      155    209    155     -3.7       14.6    5.8
 368145 6013497    1479      155    247    155     -3.7       17.2    6.0
 368145 6013732    1479      155    223    155     -3.7       15.5    5.4
 368299 6013185    1479      155    315    155     -3.7       21.7    4.5
 368299 6013478    1479      155    271    155     -7.3       18.8    3.8
 368454 6013042    1479      155    386    155     -3.7       26.8    4.1
 368454 6013388    1479      155    306    155     -3.7       21.3    4.8
 368609 6013152    1479      155    393    155     -3.7       27.9    4.5
 360451 6011174    1318      167     73    167     -3.7        5.9    4.0
 360451 6011247    1318      167     73    167     -3.7        5.7    4.4
 360451 6011318    1318      167     69    167     -3.7        5.6    5.4
 360451 6011387    1318      167     69    167     -3.7        5.5    5.9
 360451 6011457    1318      167     69    167     -3.7        5.5    6.1
 360451 6011526    1318      167     69    167     -3.7        5.5    5.9
 360451 6011595    1318      167     69    167     -3.7        5.5    5.3
 360451 6011664    1318      167     69    167     -3.7        5.6    4.4
 360451 6011733    1318      167     69    167     -3.7        5.8    3.7
 360618 6011082    1318      167     89    167     -3.7        7.2    4.3
 360618 6011168    1318      167     83    167     -3.7        6.8    5.3
 360618 6011249    1318      167     79    167     -3.7        6.4    6.3
 360618 6011327    1318      167     76    167     -3.7        6.2    7.2
 360618 6011404    1318      167     76    167     -3.7        6.0    7.0
 360618 6011478    1318      167     73    167     -3.7        5.9    6.2
 360618 6011551    1318      167     73    167     -3.7        5.9    5.4
 360618 6011624    1318      167     73    167     -3.7        5.9    4.3
 360784 6005698    1318      167     72    167      3.7        6.1    3.7
 360784 6005773    1318      167     76    167      3.7        6.4    3.7
 360784 6005852    1318      167     81    167      3.7        6.8    3.7
 360784 6011090    1318      167    103    167     -3.7        8.3    4.6
 360784 6011189    1318      167     96    167     -3.7        7.7    5.4
 360784 6011282    1318      167     90    167     -3.7        7.3    5.7
 360784 6011370    1318      167     86    167     -3.7        7.0    5.5
 360784 6011456    1318      167     86    167     -3.7        6.7    4.4
 360784 6011539    1318      167     81    167     -3.7        6.6    3.9
 360951 6005443    1318      167     76    167      3.7        6.0    3.7
 360951 6005517    1318      167     72    167      3.7        5.9    3.9
 360951 6005589    1318      167     72    167      3.7        5.9    4.0
 360951 6005661    1318      167     72    167      3.7        6.0    4.0
 360951 6005733    1318      167     72    167      3.7        6.2    4.2
 360951 6005808    1318      167     78    167      3.7        6.5    4.0
 360951 6005889    1318      167     84    167      3.7        7.0    3.9
 360951 6011256    1318      167    108    167     -3.7        8.8    3.8
 361118 6005265    1318      167     90    167      3.7        7.2    4.0
 361118 6005352    1318      167     84    167      3.7        6.8    4.2
 361118 6005435    1318      167     81    167      3.7        6.6    4.3
 361118 6005515    1318      167     81    167      3.7        6.4    4.3
 361118 6005596    1318      167     81    167      3.7        6.4    4.3
 361118 6005677    1318      167     81    167      3.7        6.6    4.4
 361118 6005757    1318      167     81    167      3.7        6.8    4.4
 361118 6005841    1318      167     87    167      3.7        7.3    4.3
 361118 6005931    1318      167     94    167      3.7        7.9    4.1
 361285 6005107    1318      167    121    167      3.7        9.7    4.2
 361285 6005222    1318      167    109    167      3.7        8.8    4.6
 361285 6005327    1318      167    101    167      3.7        8.2    4.7
 361285 6005426    1318      167     96    167      3.7        7.8    4.9
 361285 6005521    1318      167     96    167      3.7        7.6    4.7
 361285 6005617    1318      167     96    167      3.7        7.6    4.8
 361285 6005713    1318      167     96    167      3.7        7.8    4.8
 361285 6005809    1318      167     96    167      3.7        8.3    4.8
 361285 6005910    1318      167    106    167      3.7        8.9    4.6
 361452 6004939    1318      167    172    167      3.7       13.8    4.5
 361452 6005099    1318      167    148    167      3.7       11.9    5.2
 361452 6005239    1318      167    132    167      7.3       10.6    3.8
 361452 6005366    1318      167    122    167      7.3        9.9    4.1
 361452 6005486    1318      167    117    167      7.3        9.5    4.2
 361452 6005603    1318      167    117    167      7.3        9.5    4.0
 361452 6005720    1318      167    117    167      3.7        9.7    5.7
 361452 6005841    1318      167    124    167      3.7       10.3    5.6
 361452 6005970    1318      167    134    167      3.7       11.3    5.0
 361619 6004910    1318      167    214    167      3.7       17.1    5.6
 361619 6005108    1318      167    182    167      7.3       14.5    5.0
 361619 6005280    1318      167    162    167      7.3       13.0    5.3
 361619 6005436    1318      167    151    167      7.3       12.3    5.5
 361619 6005588    1318      167    151    167      7.3       12.0    5.4
 361619 6005739    1318      167    151    167      7.3       12.3    5.2
 361619 6005894    1318      167    158    167      3.7       13.1    6.8
 361786 6004832    1318      167    272    167      7.3       21.8    4.2
 361786 6005082    1318      167    227    167      7.3       18.2    6.3
 361786 6005296    1318      167    201    167     11.0       16.2    5.0
 361786 6005491    1318      167    189    167     11.0       15.3    5.3
 361786 6005680    1318      167    189    167      7.3       15.2    7.7
 361786 6005869    1318      167    189    167      7.3       15.8    5.9
 361952 6004676    1318      167    350    167      3.7       28.1    4.4
 361952 6004993    1318      167    284    167      7.3       22.7    6.5
 361952 6005258    1318      167    247    167     11.0       19.8    5.7
 361952 6005496    1318      167    228    167     11.0       18.4    6.5
 361952 6005724    1318      167    228    167      7.3       18.2    8.7
 361952 6005952    1318      167    228    167      3.7       18.5    6.5
 362119 6005047    1318      167    305    167      7.3       24.4    4.4
 362119 6005333    1318      167    267    167      7.3       21.4    5.1
 362119 6005591    1318      167    248    167      7.3       20.1    4.0
 362787 6007922    1318      167     68    167      3.7        5.5    4.5
 362787 6007990    1318      167     68    167      3.7        5.5    6.2
 362787 6008059    1318      167     68    167      7.3        5.5    4.5
 362787 6008127    1318      167     68    167      7.3        5.5    5.0
 362787 6008195    1318      167     68    167      7.3        5.4    4.8
 362787 6008264    1318      167     68    167      7.3        5.4    4.3
 362787 6008332    1318      167     68    167      3.7        5.4    5.3
 362787 6008399    1318      167     65    167      3.7        5.3    4.6
 362787 6008464    1318      167     65    167      3.7        5.3    3.8
 362953 6007823    1318      167     64    167      3.7        5.2    4.1
 362953 6007887    1318      167     64    167      3.7        5.2    5.1
 362953 6007951    1318      167     64    167      7.3        5.2    4.0
 362953 6008015    1318      167     64    167      7.3        5.2    5.2
 362953 6008079    1318      167     64    167      7.3        5.2    5.9
 362953 6008143    1318      167     64    167      7.3        5.3    6.2
 362953 6008208    1318      167     64    167      7.3        5.3    5.7
 362953 6008272    1318      167     64    167      7.3        5.3    5.0
 362953 6008336    1318      167     64    167      7.3        5.3    4.0
 362953 6008400    1318      167     64    167      3.7        5.3    5.1
 362953 6008464    1318      167     64    167      3.7        5.4    4.2
 363120 6007753    1318      167     64    167      3.7        5.2    3.8
 363120 6007817    1318      167     64    167      3.7        5.1    4.4
 363120 6007881    1318      167     64    167      3.7        5.1    5.1
 363120 6007945    1318      167     64    167      7.3        5.1    3.7
 363120 6008009    1318      167     64    167      7.3        5.1    4.1
 363120 6008073    1318      167     64    167      7.3        5.2    4.2
 363120 6008137    1318      167     64    167      7.3        5.2    3.8
 363120 6008201    1318      167     64    167      3.7        5.2    5.7
 363120 6008265    1318      167     64    167      3.7        5.2    4.4
 363287 6007098    1318      167    125    167      3.7       10.0    3.8
 363287 6007645    1318      167     72    167      3.7        5.9    3.8
 363287 6007717    1318      167     72    167      3.7        5.7    3.9
 363287 6007787    1318      167     68    167      3.7        5.5    4.4
 363287 6007856    1318      167     68    167      3.7        5.5    4.7
 363287 6007924    1318      167     68    167      3.7        5.4    4.9
 363287 6007992    1318      167     68    167      3.7        5.4    4.7
 363287 6008059    1318      167     65    167      3.7        5.3    4.2
 363454 6007033    1318      167    148    167      3.7       11.7    4.7
 363454 6007171    1318      167    128    167      3.7       10.3    5.1
 363454 6007291    1318      167    113    167      3.7        9.1    4.7
 363454 6007399    1318      167    101    167      3.7        8.2    4.5
 363454 6007496    1318      167     93    167      3.7        7.5    4.4
 363454 6007585    1318      167     87    167      3.7        7.0    4.4
 363454 6007670    1318      167     82    167      3.7        6.7    4.5
 363454 6007750    1318      167     79    167      3.7        6.4    4.6
 363454 6007829    1318      167     79    167      3.7        6.2    4.4
 363454 6007906    1318      167     75    167      3.7        6.1    4.1
 363621 6007018    1318      167    164    167      7.3       13.2    4.1
 363621 6007174    1318      167    147    167      7.3       11.8    4.9
 363621 6007312    1318      167    130    167      7.3       10.5    4.5
 363621 6007436    1318      167    117    167      7.3        9.4    4.0
 363621 6007548    1318      167    107    167      3.7        8.7    5.6
 363621 6007652    1318      167    100    167      3.7        8.1    5.3
 363621 6007749    1318      167     94    167      3.7        7.7    4.8
 363621 6007841    1318      167     90    167      3.7        7.3    3.9
 363788 6006930    1318      167    183    167      3.7       15.3    4.6
 363788 6007113    1318      167    183    167      7.3       14.4    5.7
 363788 6007285    1318      167    160    167      7.3       12.9    6.2
 363788 6007436    1318      167    143    167      7.3       11.5    5.4
 363788 6007572    1318      167    130    167      7.3       10.4    4.5
 363788 6007697    1318      167    119    167      3.7        9.6    5.5
 363788 6007812    1318      167    111    167      3.7        9.0    3.8
 363954 6006844    1318      167    201    167      3.7       17.0    3.7
 363954 6007045    1318      167    201    167     11.0       17.2    3.8
 363954 6007245    1318      167    201    167     11.0       15.9    5.4
 363954 6007433    1318      167    176    167     11.0       14.1    3.9
 363954 6007600    1318      167    157    167      7.3       12.7    5.0
 363954 6007750    1318      167    143    167      3.7       11.6    4.8
 364121 6006988    1318      167    239    167      7.3       20.1    5.0
 364121 6007228    1318      167    239    167     11.0       19.1    7.3
 364121 6007453    1318      167    212    167     11.0       17.1    5.3
 364121 6007654    1318      167    189    167      7.3       15.2    4.8
 364288 6006864    1318      167    265    167      7.3       22.5    3.7
 364288 6007137    1318      167    280    167     11.0       23.2    6.5
 364288 6007408    1318      167    262    167     11.0       21.3    9.5
 364288 6007656    1318      167    234    167      7.3       18.8    5.7
 364455 6006973    1318      167    316    167     11.0       27.0    4.0
 364455 6007290    1318      167    316    167     14.7       26.6   48.2
 364455 6007595    1318      167    294    167     11.0       23.9    5.5
 364455 6007873    1318      167    262    167      3.7       21.1    4.9
 364455 6013820    1318      167    345    167     -3.7       29.5    4.2
 364455 6014222    1318      167    458    167     -3.7       38.5    5.2
 364622 6006790    1318      167    337    167      7.3       29.2    3.7
 364622 6007149    1318      167    379    167     14.7       31.9    4.3
 364622 6007528    1318      167    379    167     11.0       29.7   13.2
 364622 6007881    1318      167    327    167      7.3       26.2    4.4
 364622 6013188    1318      167    320    167     -3.7       25.4    4.5
 364622 6013509    1318      167    320    167     -7.3       27.1    4.1
 364622 6013851    1318      167    366    167     -7.3       31.2    4.4
 364622 6014271    1318      167    473    167     -3.7       39.6    7.5
 364789 6006896    1318      167    409    167     11.0       35.3    3.7
 364789 6007321    1318      167    443    167     14.7       36.9    8.1
 364789 6007749    1318      167    412    167     11.0       33.4    7.0
 364789 6008142    1318      167    375    167      3.7       30.2    5.5
 364789 6008869    1318      167    359    167      3.7       30.0    3.8
 364789 6009228    1318      167    359    167      3.7       30.1    3.7
 364789 6013006    1318      167    318    167     -3.7       25.7    5.0
 364789 6013324    1318      167    318    167     -7.3       25.8    4.5
 364789 6013650    1318      167    335    167     -7.3       27.9    4.7
 364789 6014008    1318      167    380    167     -3.7       32.5    7.5
 364955 6007762    1318      167    474    167     14.7       40.0    3.8
 364955 6008223    1318      167    447    167      7.3       36.3    5.4
 364955 6008659    1318      167    425    167      7.3       34.6    4.0
 364955 6009069    1318      167    394    167      3.7       32.0    4.1
 364955 6012978    1318      167    295    167     -3.7       23.8    4.2
 364955 6013272    1318      167    295    167     -3.7       23.4    4.6
 364955 6013567    1318      167    295    167     -3.7       24.6    5.2
 365122 6008404    1318      167    489    167     11.0       41.4    4.3
 365122 6008869    1318      167    440    167      7.3       35.8    3.9
 365289 6008767    1318      167    472    167      7.3       39.0    3.9
 365456 6008727    1318      167    494    167      3.7       40.8    4.1
 367959 6013662    1318      167    189    167     -3.7       15.3    6.6
 367959 6013851    1318      167    189    167     -3.7       15.1    6.4
 367959 6014036    1318      167    179    167     -3.7       14.5    3.9
 368125 6013422    1318      167    217    167     -3.7       17.6    5.9
 368125 6013632    1318      167    204    167     -7.3       16.6    4.1
 368125 6013828    1318      167    188    167     -3.7       15.2    4.7
 368292 6013087    1318      167    278    167     -3.7       22.4    4.2
 368292 6013350    1318      167    249    167     -7.3       20.1    3.9
 368292 6013584    1318      167    219    167     -3.7       17.6    5.2
 368459 6012984    1318      167    334    167     -3.7       26.9    3.9
 368459 6013292    1318      167    282    167     -3.7       22.7    5.1
 368459 6013547    1318      167    229    167     -3.7       18.5    3.8
 368626 6013215    1318      167    321    167     -3.7       25.9    4.3
 360988 6005474    1146      178     88    178      3.7        8.2    3.9
 360988 6005562    1146      178     88    178      3.7        8.1    4.1
 360988 6005651    1146      178     88    178      3.7        8.3    4.3
 360988 6005739    1146      178     88    178      3.7        8.5    4.4
 360988 6005830    1146      178     94    178      3.7        8.9    4.4
 360988 6005927    1146      178    101    178      3.7        9.6    4.1
 361166 6005219    1146      178    107    178      3.7        9.9    3.9
 361166 6005323    1146      178    101    178      3.7        9.4    4.5
 361166 6005424    1146      178    101    178      3.7        9.0    4.5
 361166 6005523    1146      178     96    178      3.7        8.9    4.8
 361166 6005619    1146      178     96    178      3.7        8.9    4.9
 361166 6005715    1146      178     96    178      3.7        9.2    5.0
 361166 6005814    1146      178    101    178      3.7        9.6    5.0
 361166 6005918    1146      178    108    178      3.7       10.2    4.7
 361344 6005015    1146      178    142    178      3.7       13.0    3.8
 361344 6005151    1146      178    129    178      3.7       11.9    4.8
 361344 6005275    1146      178    120    178      3.7       11.1    5.3
 361344 6005392    1146      178    114    178      3.7       10.6    5.6
 361344 6005506    1146      178    114    178      3.7       10.3    5.6
 361344 6005620    1146      178    114    178      3.7       10.3    5.8
 361344 6005734    1146      178    114    178      3.7       10.6    5.9
 361344 6005848    1146      178    114    178      3.7       11.1    5.8
 361344 6005968    1146      178    125    178      3.7       11.9    5.4
 361523 6004983    1146      178    171    178      3.7       15.7    5.3
 361523 6005146    1146      178    154    178      7.3       14.1    4.5
 361523 6005294    1146      178    142    178      7.3       13.1    5.1
 361523 6005433    1146      178    136    178      7.3       12.6    5.2
 361523 6005569    1146      178    136    178      7.3       12.4    5.3
 361523 6005704    1146      178    136    178      7.3       12.6    5.3
 361523 6005840    1146      178    136    178      7.3       13.1    4.8
 361523 6005980    1146      178    146    178      3.7       13.9    6.0
 361701 6004741    1146      178    240    178      3.7       21.9    4.3
 361701 6004964    1146      178    206    178      7.3       18.8    4.8
 361701 6005159    1146      178    183    178      7.3       16.8    6.2
 361701 6005335    1146      178    170    178      7.3       15.6    7.3
 361701 6005501    1146      178    163    178     11.0       15.1    4.3
 361701 6005664    1146      178    163    178      7.3       15.0    7.7
 361701 6005827    1146      178    163    178      7.3       15.4    7.0
 361701 6005993    1146      178    170    178      3.7       16.1    7.7
 361879 6004825    1146      178    260    178      3.7       23.8    6.4
 361879 6005068    1146      178    226    178      7.3       20.7    6.9
 361879 6005284    1146      178    205    178     11.0       18.9    5.8
 361879 6005483    1146      178    194    178     11.0       18.0    6.9
 361879 6005677    1146      178    194    178     11.0       17.7    6.7
 361879 6005871    1146      178    194    178      7.3       17.9    8.0
 362057 6004961    1146      178    267    178      7.3       24.4    4.0
 362057 6005213    1146      178    237    178      7.3       21.7    6.3
 362057 6005441    1146      178    220    178      7.3       20.3    7.4
 362057 6005657    1146      178    211    178      7.3       19.6    6.2
 362057 6005868    1146      178    211    178      3.7       19.3    7.0
 362770 6007989    1146      178     74    178      3.7        6.9    4.7
 362770 6008063    1146      178     74    178      3.7        6.8    5.5
 362770 6008137    1146      178     74    178      3.7        6.8    5.8
 362770 6008211    1146      178     74    178      3.7        6.7    5.4
 362770 6008286    1146      178     74    178      3.7        6.7    4.9
 362770 6008360    1146      178     74    178      3.7        6.7    4.2
 362770 6008434    1146      178     74    178      3.7        6.7    3.7
 362948 6007777    1146      178     74    178      3.7        6.8    4.3
 362948 6007851    1146      178     74    178      3.7        6.7    5.5
 362948 6007925    1146      178     74    178      3.7        6.7    6.6
 362948 6007999    1146      178     74    178      7.3        6.6    4.1
 362948 6008072    1146      178     74    178      7.3        6.6    4.7
 362948 6008146    1146      178     74    178      7.3        6.6    4.7
 362948 6008220    1146      178     74    178      7.3        6.6    4.3
 362948 6008294    1146      178     74    178      3.7        6.6    6.4
 362948 6008368    1146      178     74    178      3.7        6.7    5.2
 362948 6008441    1146      178     74    178      3.7        6.7    4.3
 363126 6007505    1146      178     84    178      3.7        7.7    3.7
 363126 6007587    1146      178     80    178      3.7        7.4    4.1
 363126 6007667    1146      178     80    178      3.7        7.1    4.4
 363126 6007744    1146      178     75    178      3.7        6.9    5.4
 363126 6007819    1146      178     75    178      3.7        6.8    6.3
 363126 6007894    1146      178     75    178      7.3        6.7    3.8
 363126 6007967    1146      178     72    178      7.3        6.6    4.3
 363126 6008039    1146      178     72    178      7.3        6.6    4.6
 363126 6008110    1146      178     72    178      7.3        6.6    4.0
 363126 6008182    1146      178     72    178      3.7        6.6    6.5
 363126 6008254    1146      178     72    178      3.7        6.6    5.3
 363126 6008326    1146      178     72    178      3.7        6.6    4.0
 363304 6006909    1146      178    134    178      3.7       12.8    3.8
 363304 6007040    1146      178    128    178      3.7       11.9    4.9
 363304 6007163    1146      178    117    178      3.7       10.8    5.3
 363304 6007275    1146      178    107    178      3.7        9.8    5.3
 363304 6007377    1146      178     98    178      3.7        9.1    5.2
 363304 6007472    1146      178     92    178      3.7        8.4    5.2
 363304 6007561    1146      178     86    178      3.7        8.0    5.5
 363304 6007646    1146      178     82    178      3.7        7.6    5.8
 363304 6007728    1146      178     82    178      3.7        7.4    5.9
 363304 6007808    1146      178     78    178      3.7        7.2    6.2
 363304 6007886    1146      178     78    178      3.7        7.0    6.3
 363304 6007964    1146      178     78    178      3.7        6.9    5.9
 363304 6008039    1146      178     74    178      3.7        6.8    5.8
 363304 6008113    1146      178     74    178      3.7        6.8    4.5
 363482 6006933    1146      178    144    178      3.7       13.4    4.6
 363482 6007073    1146      178    136    178      7.3       12.6    4.6
 363482 6007203    1146      178    125    178      7.3       11.5    5.0
 363482 6007322    1146      178    114    178      7.3       10.5    4.8
 363482 6007432    1146      178    105    178      7.3        9.7    4.5
 363482 6007534    1146      178     98    178      7.3        9.1    4.3
 363482 6007630    1146      178     93    178      7.3        8.6    4.2
 363482 6007721    1146      178     89    178      7.3        8.3    3.9
 363482 6007810    1146      178     89    178      3.7        8.0    6.0
 363482 6007896    1146      178     84    178      3.7        7.7    5.7
 363482 6007980    1146      178     84    178      3.7        7.5    4.2
 363660 6006854    1146      178    155    178      3.7       14.7    3.9
 363660 6007009    1146      178    155    178      7.3       14.4    4.8
 363660 6007158    1146      178    145    178     11.0       13.4    3.7
 363660 6007297    1146      178    133    178      7.3       12.3    6.9
 363660 6007425    1146      178    123    178      7.3       11.3    6.1
 363660 6007543    1146      178    114    178      7.3       10.5    5.5
 363660 6007654    1146      178    107    178      7.3        9.9    4.8
 363660 6007758    1146      178    101    178      7.3        9.4    3.7
 363660 6007857    1146      178     97    178      3.7        9.0    5.1
 363839 6006965    1146      178    166    178      7.3       16.2    4.7
 363839 6007131    1146      178    166    178     11.0       15.5    4.9
 363839 6007292    1146      178    156    178     11.0       14.4    5.9
 363839 6007442    1146      178    143    178     11.0       13.2    4.1
 363839 6007580    1146      178    133    178      7.3       12.2    6.3
 363839 6007708    1146      178    124    178      7.3       11.4    4.6
 363839 6007828    1146      178    117    178      3.7       10.8    5.2
 364017 6006858    1146      178    189    178      3.7       18.1    4.4
 364017 6007047    1146      178    189    178     11.0       18.3    4.2
 364017 6007236    1146      178    189    178     11.0       17.3    7.9
 364017 6007418    1146      178    173    178     11.0       16.0    7.0
 364017 6007584    1146      178    159    178      7.3       14.7    8.2
 364017 6007737    1146      178    147    178      7.3       13.6    4.2
 364017 6007880    1146      178    138    178      3.7       12.7    4.0
 364195 6006808    1146      178    209    178      3.7       20.2    4.1
 364195 6007024    1146      178    222    178     11.0       21.1    4.3
 364195 6007246    1146      178    222    178     11.0       20.3   37.9
 364195 6007459    1146      178    204    178     11.0       18.8    8.5
 364195 6007654    1146      178    187    178      7.3       17.2    7.3
 364195 6007834    1146      178    172    178      3.7       15.9    5.6
 364373 6006845    1146      178    242    178      7.3       23.4    4.0
 364373 6007095    1146      178    257    178     11.0       24.4    5.8
 364373 6007352    1146      178    257    178     14.7       23.3   24.7
 364373 6007597    1146      178    233    178     11.0       21.4    7.2
 364373 6007820    1146      178    213    178      7.3       19.6    4.6
 364373 6013912    1146      178    310    178     -3.7       30.3    3.8
 364373 6014267    1146      178    400    178     -3.7       38.1    4.4
 364551 6006834    1146      178    276    178      7.3       26.8    4.1
 364551 6007121    1146      178    297    178     11.0       28.3    7.1
 364551 6007419    1146      178    297    178     14.7       27.2   17.9
 364551 6007703    1146      178    271    178     11.0       25.0    5.5
 364551 6007964    1146      178    250    178      7.3       23.1    3.7
 364551 6013358    1146      178    278    178     -3.7       25.7    4.2
 364551 6013644    1146      178    295    178     -3.7       28.0    5.0
 364551 6013958    1146      178    333    178     -7.3       32.3    3.7
 364551 6014334    1146      178    419    178     -3.7       39.9    6.6
 364729 6006833    1146      178    316    178      7.3       30.9    4.2
 364729 6007163    1146      178    345    178     14.7       32.9    4.1
 364729 6007508    1146      178    345    178     14.7       31.6    9.6
 364729 6007839    1146      178    316    178     11.0       29.1    5.0
 364729 6008144    1146      178    296    178      7.3       27.3    3.9
 364729 6008440    1146      178    296    178      3.7       26.6    3.8
 364729 6009031    1146      178    296    178      3.7       28.1    3.7
